Projetos de Pesquisa Cadastrados em 2016,,
Campus,Título,Coordenador do Projeto
Januária,Avaliação da Viabilidade de Diferentes Sistema de Cultivo  e da Produção de Variedades de Milho (Zea Mays L.) nas Condições Edafoclimáticas do Município de Januária-MG,Sebastião Lourenço Henrique
Januária,AVALIAÇÃO DO DESEMPENHO PRODUTIVO DE GENÓTIPOS DE GIRASSOL (Helianthus annuus L.) EM JANUÁRIA NORTE DE MINAS GERAIS – SAFRA 2015/2016,Aroldo Gomes Filho
Januária,"Avaliação do Manejo de Alternaria Sp., Xanthomonas Sp. e Toxidez em Tomateiro Pelo Uso de Nanopartículas de Sílica",Tatiana Tozzi Martins de Souza Rodrigues
Januária,"Avaliação do uso de enzima ?-mananase (magnozyme®) em dietas de suínos nas fases de creche, crescimento e terminação",Wagner Azis Araújo
Januária,Balanço eletrolítico total em dietas para leitões sob desarme precoce,Jussara Barros Silva
Januária,BIOMETRIA E PRODUÇÃO DE BANANEIRA CULTIVAR “NANICA” EM FUNÇÃO DE DOSES E FONTES DE FÓSFORO,Dilermando Dourado Pacheco
Januária,Concepções e perspectivas sobre empreendedorismo na visão dos acadêmicos do curso superior de Bacharelado em Administração do IFNMG – Campus Januária,Sônia Souza Almeida Rodrigues
Januária,Da Finlândia para o Brasil: a experiência finlandesa com educação profissional contribuindo para a construção de modelos pedagógicos e aproximação com o setor produtivo,Iza Manuella Aires Cotrim Guimarães
Januária,Desempenho agronômico de genótipos de girassol ( Helianthus annuus L. ) submetidos a diferentes níveis de Boro na região de Januária norte de Minas Gerais,Claubert Wagner Guimarães de Menezes
Januária,"Desempenho agronômico de genótipos de girassol (Helianthus annuus L.) submetidos a diferentes níveis de adubação com Boro, produzidos no norte de Minas Gerais",Claubert Wagner Guimarães de Menezes
Januária,Desempenho de Plantas Ornamentais Cultivadas em Sistemas Alagados Construídos Para Tratamento de Efluentes no Norte de Minas Gerais,Danilo Pereira Ribeiro
Januária,Desenvolvimento de jogo educacional para o ensino das leis de trânsito brasileira direcionado aos alunos do ensino fundamental.,Joselice Ferreira Lima
Januária,"DESENVOLVIMENTO DE UM SISTEMA NA PLATAFORMA ARDUINO PARA A LEITURA DE pH, UMIDADE E TEMPERATURA DO SOLO DE BAIXO CUSTO",Edinei Canuto Paiva
Januária,Diagnóstico quali-quantitativo da arborização das vias e praças públicas da área urbana de Januária-MG,Tattiane Gomes Costa
Januária,DIFERENTES TIPOS DE TRATAMENTOS PARA PRODUÇÃO DAS ESPÉCIES Jacaranda brasiliana E Tibouchina granulosa,Tattiane Gomes Costa
Januária,Diversidade de microrganismos patogênicos e endofíticos em plantas da Mata Seca no Norte de Minas Gerais,Tatiana Tozzi Martins de Souza Rodrigues
Januária,"Dominação, relações de gênero e trajetórias de elevação da escolaridade",Ivy Daniela Monteiro Matos
Januária,"Educação e Tecnologia, análise complexa da realidade do trabalho docente na transição paradigmática",Eudes Mauro de Souza
Januária,Efeito da Densidade de Semeadura e Diferentes Adubações na Produtividade de Forragem Hidroponica de Milho,Alberto Luiz Ferreira Berto
Januária,Efeito do Uso da Enzima ?-Mananase (Magnozyme ®) na Dieta de Suínos em Terminação Sobre os Parâmetros de Carcaça,Wagner Azis Araújo
Januária,EFICIÊNCIA DE ADUBAÇÃO NITROGENADA NA CULTURA DO MILHO,Gracielly Ribeiro de Alcântara
Januária,Eficiência do enxofre elementar associado ao uso do esterco redução do PH de solos alcalinizados nas condições edafoclimáticas do norte do estado de Minas Gerais,Dilermando Dourado Pacheco
Januária,Empregabilidade dos Egressos dos Cursos Superiores do Instituto Federal do Norte de Minas - Campus Januária,Giuliano Viana de Alkmin
Januária,Estimativa e espacialização do balanço hídrico e erosividade de chuvas na microregião de Januária-MG,Dilermando Dourado Pacheco
Januária,Estudo da influência do tempo de branqueamento e embalagem a vácuo em mandioca (Manihot esculenta Crantz) pré processada armazenada sob congelamento,Geralda Magela Costa Nobre
Januária,Estudo investigativo do algorítimo da multiplicação utilizando a história da matemática,Gustavo Pereira Gomes
Januária,Fluxo de caixa como ferramenta de gestão e planejamento financeiro: análise das empresas revendedoras de calçados no município de Itacarambi-MG,Eduardo Cabral da Cruz
Januária,Fluxo de caixa como ferramenta de gestão para micro e pequenas empresas de Januária/MG,Eduardo Cabral da Cruz
Januária,Higienização e curva de incubação de lodo de esgoto doméstico por meio de processo alcalino,Danilo Pereira Ribeiro
Januária,Identidades e trajetórias profissionais no trabalho docente: um estudo de caso com professores na área de TI,Ivy Daniela Monteiro Matos
Januária,Impactos do PIBID na vida profissional do egresso do curso de Licenciatura em Física no IFNMG – Campus Januária,Edinei Canuto Paiva
Januária,"Influência da Escarificação, Tratamento Térmicoe e Aplicação de Doses de Ácido Giberélico na Quebra de Dormência de Sementes de (Annona Crassiflora, MART)",Luiz Carlos Ferreira
Januária,Influencia das plantas de cobertura na perda de solo e água em um solo cultivado com milho (zea mays) em sistema de plantio direto sob chuva artificial,Antônio Fábio Silva Santos
Januária,Inserção  de  Materiais Manipuláveis  de  Geometria  Esférica  no  Laboratório  de  Matemática: Um Estudo Investigativo,Josué Antunes de Macêdo
Januária,"Interferência  das  Plantas  Daninhas  na  Cultura  do  Feijão  Caupi,  em  Januária  -  Norte  de Minas Gerais",Claubert Wagner Guimarães de Menezes
Januária,Licenciatura em Ciências Biológicas do IFNMG/Campus Januária: Os desafios da formação inicial,Joelma de Fátima Mendes Bandeira
Januária,Manifestações culturais de Januária-MG: Um mapeamento e estudo sobre suas principais características,Ivan Carlos Schwan
Januária,Micronúcleos Como Biomarcadores de Danos Genéticos ao DNA De Células Da Mucosa Bucal Em Indivíduos Usuários de Aparelhos Ortodônticos,Maria Rosilene Alves Damasceno
Januária,O ensino de física sob a percepção discente no ensino médio do Instituto Federal do Norte de Minas Gerais – Campus Januária: um estudo estatístico inferencial,Rafael Lédo Rocha de Oliveira
Januária,Perfil da população do distrito de Brejo do Amparo-Januária(MG) quanto ao consumo e conhecimento sobre a qualidade da água: uma análise com vistas à promoção da saúde na escola,Iza Manuella Aires Cotrim Guimarães
Januária,Perfil profissional dos discentes do curso de Licenciatura em Matemática do Instituto Federal do Norte de Minas Gerais (IFNMG) campus Januária,Gustavo Pereira Gomes
Januária,Política pública e licitação: a participação de micro e pequenas empresas nos pregões eletrônicos realizados pelo IFNMG- Campus Januária,Érica Neves Santana
Januária,POTENCIAL  BIOTICO  DE  NEMATOIDES  ENTOMOPATOGÊNICOS  A  LARVAS  DE  Spodoptera frugiperda EM SEMI CAMPO,Eliane Souza Gomes Brito
Januária,Potencial Biótico de Entomopatógenos e métodos alternativos no controle de lagarta da espiga (Helicoverpa zea),Eliane Souza Gomes Brito
Januária,Processamento de dietas sem volumoso em confinamento de bovinos,Rogério Mendes Murta
Januária,Qualidade da água das nascentes com diferentes usos do solo na sub-bacia hidrográfica do córrego olhos d'água situada nos municípios de Januária e Cônego Marinho-MG,Alberto Luiz Ferreira Berto
Januária,Rações comerciais com valores atualizados de balanço eletrolítico para leitões em fase de creche,Wagner Azis Garcia de Araújo
Januária,Relação professor aluno e a indisciplina no processo ensino aprendizagem de Biologia,Joelma de Fátima Mendes Bandeira
Januária,Segregação setorial por gênero na atividade docente do Instituto Federal do Norte de Minas Gerais( IFNMG)- campus Januária,Ivy Daniela Monteiro Matos
Januária,"Síntese e caracterização de derivados triazólicos, potenciais fungicidas no manejo de fitopatógenos",Arturene Maria Lino Carmo
Januária,Toxicidade de Agrotóxicos ao Parasitoide Trichogramma Pretiosum (Hymenoptera: Trichogrammatidae),Claubert Wagner Guimarães de Menezes
Januária,"Uma análise estatística das expectativas dos ingressantes e concluintes do curso de Licenciatura em Matemática no Instituto Federal do Norte de Minas Gerais, Campus Januária",Rafael Lédo Rocha de Oliveira
Januária,Variabilidade espacial da fertilidade do solo em área irrigada com água residuária de suinocultura,gracielly Ribeiro de Alcântara
Januária,Produção Custo e incidência de doenças e pragas em cana-de-açucar adubada com pó de rocha e fertilizante orgânico composto,Tatiana Tozzi Martins de Souza Rodrigues
Montes Claros,Comparação da Produção de Biodiesel a Partir de Óleo Residual de Fritura e Óleo de Soja Através da Transesterificação Alcalina ,Thalles de Assis Cardoso Gonçalves
Montes Claros,"Determinação da Científica de Degradação do Corante Índigo Blue de um Efluente Têxtil, Utilizando o Processo Foto-Fenton",Thalles de Assis Cardoso Gonçalves
Montes Claros,Navegação Autônoma de Robô Móvel,Caribe Zampirolli de Souza
Montes Claros,Desenvolvimento de Ferramentas Avançadas para Análise de Sistemas híbridos de Transmissão de Energia Elétrica (HVDC E HVAC),Leandro Almeida Vasconcelos
Montes Claros,Desenvolvimento de Ferramentas Avançadas para Análise de Redes Elétricas Ilhadas Contendo Fontes Alternativas de Energia,Leandro Almeida Vasconcelos
Montes Claros,Análise do Público Atendido Pelo Curso de Inclusão Digital das Mulheres no IFNMG Campus Montes Claros,Amanda Chaves Moreira Cangussu
Montes Claros,"Qualidade de Vida e Percepção de Hábitos Saudáveis Entre Estudantes do Ensino Básico, Técnico, Tecnológico do Instituto Federal do Norte de Minas – Campus Montes Claros-MG",Junai Carvalho de Souza Lopes
Montes Claros,"Preparação, Caracterização Físico Química e Ensaios de Adsorção de Íons Metálicos “pesados” em Carvão Ativado Preparado a Partir de Pinus Caribea var. Bahamensis",Daniel Rodrigues Magalhães
Montes Claros,Determinação de Dados de Equilíbrio Líquido – Líquido e Líquido – Vapor em Misturas e Construção de Diagramas de Equilíbrio,Daniel Rodrigues Magalhães
Montes Claros,Construção de Robô Móvel com Navegação Autônoma,Caribe Zampirolli de Souza
Montes Claros,Avaliação do Uso Potencial da Casca de Pequi (Cariocar Brasilense) na Obtenção de Etanol Lignocelulósico,Thalles de Assis Cardoso Gonçalves
Montes Claros,Comparação Entre a Estrutura dos Nanocristais de Óxido de Zinco Utilizando Como Biotemplate Membrana de Cascas de Ovo de Galinha e de Pato,Fernanda de Lima Menezes
Montes Claros,Elaboração de Bioplásticos Flexíveis e Biodegradáveis a Partir de Matérias -Primas Renováveis,Vitor Hugo Fernandes
Montes Claros,Abordagem e Técnicas para o Tratamento de Água: Processo de Desinfecção por Energia Solar (SODIS) com a Eletrofloculação,Fernanda de Lima Menezes
Montes Claros e Januária,Os Transgênicos na Visão de Professores e Alunos do Curso de Agronomia do IFNMG Campus Januária,Carlos Alexandre de Oliveira
Montes Claros,Estudos de Sistemas de Transmissão de Energia Elétrica HVDC-VSC Multiterminal para Grandes Parques Eólicos Offshore,Leandro Almeida Vasconcelos
Montes Claros,Modelagem e Simulação das Etapas de Hidrólise e Fermentação da Torta de Butiti (Mauritia Flexuosa L.) no Simulador EMSO,Pedro Henrique de Oliveira Gomes e Vitor Hugo Fernandes
Montes Claros,Obtenção de Bioetanol de Segunda Geração a Partir de Palha de Soja (GLYCINE MAX),Pedro Henrique de Oliveira Gomes
Montes Claros,Análise Não-linear de Uma Família de Sistemas Cúbicos em R³ Obtida de uma Equação Diferencial Escalar de Terceira Ordem,Valdomiro Rocha
Montes Claros,Parte Computacional da Análise Não-Linear de Uma Família de Sistemas Cúbicos em R³ Obtida de Uma Equação Diferencial Escalar de Terceira Ordem,Valdomiro Rocha
Montes Claros,Otimização do Processo de Obtenção de Etanol Lignocelulósico a Partir de Torta de Buriti,Pedro Henrique de Oliveira Gomes
Montes Claros,Extração e Quantificação do Óleo Essencial de Hancornia Speciosa Gomes e de Schinus Molle L.,Daniel Rodrigues Magalhães
Montes Claros,Produção de Biodiesel e Triacetil- Glicerol por Interesterificação,Vitor Hugo Fernandes
Montes Claros,O Uso de Metaheurísticas para a Programação da Sequência de Jogos em Torneios Esportivos,Laércio Ives Santos
Montes Claros,"Avaliação da Qualidade Microbiológica da Água da Lagoa do Parque Municipal, Montes Claros/MG",Maria Clara Oliveira Durães
Montes Claros,Avaliação da Qualidade Microbiológica da Água de Bebedouro em Dois Postos de Saúde Comunitários de Montes Claros/MG,Maria Clara Oliveira Durães
Montes Claros,Crescimento de Cristais para Aplicações em Optoeletrônica,Jeferson Suela
Montes Claros,Montagem de Um Protótipo de Um Tanque para Controle de Nível Baseado em Plataforma Arduíno,Saulo Fernando dos Santos Vidal
Montes Claros,Estudo do Efeito do Desacoplamento de Malha em um Sistema de Controle MIMO,Saulo Fernando dos Santos Vidal
Montes Claros,Simulação Via CFD da Separação Bifásica Fluído/Partícula em Câmaras de Separação Gravitacional Utilizando-se o Software Gratuíto Openfoam,João Carlos Gonçalves
Montes Claros,Simulação de Fluídos com o Método sem Malha Smoothed Particle Hydrodynamics (SPH),Tatiane Reis do Amaral
Montes Claros,Semeadura de Núvens: Estado Atual e Perspectivas,Marcos Aurélio Duarte Carvalho
Montes Claros,Identificação e Controle para um Módulo de Trocador de Calor de Placas,Saulo Fernando dos Santos Vidal
Montes Claros,Avaliação da Não Idealidade do Módulo de Reatores CSTR,Vitor Hugo Fernandes
Montes Claros,Acompanhamento e Análise da Evasão Escolar no IFNMG/Campus Montes Claros,Luciana Gusmão de Souza Narciso
Montes Claros,Metodologias de Ensino de Física para Autistas no Ensino Médio,Roberto Wagner Guimarães Brito
Montes Claros,Sistemas de Iluminação Baixo Custo High-Bay Utilizando Leds,Bruno Rafael Gomes de Carvalho
Montes Claros,Dissipadores de Calor de Baixo Custo,Bruno Rafael Gomes de Carvalho
Montes Claros,Braço Robótico Controlado Via Remoto,Alberto da Silva
Montes Claros,"Análise, Estudo e Prototipagem para Controle Micro Processado de Cicloergômetros",Felipe de Nassau Braga
Montes Claros,Propriedades Quânticas da Luz e sua Interação com a Matéria,Marcos Aurélio Duarte Carvalho
Montes Claros,Estudo da Eficiência na Redução da Temperatura em Discos de Freios de Automóveis por Convenção Forçada,Fernanda de Lima Menezes
Pirapora,Desertificação no Norte de Minas Gerais: Uma Avaliação sob a Forçante Climática,Bruno Lopes de Faria
Pirapora,Estudo da Resistência Característica do Concreto à Compressão Utilizando como Agregado Graúdo o Arenito Ascóbrio e o Gnaisse,Fábio José Generoso
Pirapora,Análise de satisfação dos Alunos do Curso Técnico de Edificações do IFNMG Campus Pirapora,Franklin Alisson de Carvalho
Pirapora,Classificação e Quantificação de Resíduos Gerados no IFNMG Campus Pirapora,Franklin Alisson de Carvalho
Pirapora,Sequenciamento de Tarefas em Máquinas Paralelas Considerando Desgastes Dependentes da Sequência,Vívian Ludimila Aguiar Santos
Pirapora,Estudo das Patologias Existentes no Prédio do IFNMG Campus Pirapora,Wanderson Gonçalves Machado
Pirapora,Análise Estrutural Dinâmica de Pisos Formados por Laje de Concreto e Vigas de Aço Ligadas por Conexão Deformável sob Ação de Cargas Dinâmicas,Wanderson Gonçalves Machado
Pirapora,Baseado no Problema de Partição de Números e Utilizando a Técnica de Busca em Profundidade para Resolver o Problema de Sequenciamento de Tarefas com Efeitos de Desgastes,Víviam Ludimila Aguiar Santos
Pirapora,A Utilização de Tecnologias de Educação à Distância em Disciplinas Presenciais,Luciano Soares de Souza
Pirapora ,Turismo de Eventos: Análise do 15º Encontro Nacional dos Motociclistas de Pirapora ,Juliara Lopes d Fonseca 
Pirapora ,Atuação do Egresso do curso Técnico em Administração do IFNMG/ Campus Pirapora no Mercado de Trabalho ,Daniel Rocha Silva 
Pirapora ,Conteúdos de Ensino e Formação Cidadã: Percepções dos Acadêmicos em uma Instituição de Ensino de Pirapora – MG ,Maria do Socorro Vieira Barreto 
Pirapora,Projeto de Informatização das Matrículas do IFNMG – Pirapora ,Thiago Mourão Pereira
Pirapora,Literatura Brasileira e Novas Mídias: Narrativas Mitigantes,Renata Maurício Sampaio
Pirapora,"Edificações em Instituições de Ensino Básico, Técnico e Tecnológico",Lunna Chaves Costa
Pirapora,Desenvolvimento de Software para Dimensionamento de Fundações Profundas Utilizando a Linguagem Python,Fábio José Generoso
Pirapora,Caracterização do Problema de Programação dos Horários,Víviam Ludimila Aguiar Santos
Pirapora,PRONATEC: Implementação e Desenvolvimento no IFNMG/Campus Pirapora,Eliane da Silva Magalhães Almeida
Pirapora,Técnicas de Busca Multiobjetivo para Seleção de Testes de Softwares,Luciano Soares de Souza
Pirapora,Utilização de Busines Process Management para Mapear e Avaliar os Processos da Coordenação de Pesquisa e Inovação do IFNMG Campus Pirapora,Luciano Soares de Souza
Porteirinha,Proposta de Utilização do Arduíno em Energia Solar Fotovoltaica,Thiago Nogueiro Tolentino Barbosa
Salinas,Desenvolvimento de Metrologia Espectroscópica para a Certificação de Materiais Biocombustíveis,Alisson Marques de Miranda
Salinas,Levantamento da Estrutura Fitossociológica da área do Cerrado na Comunidade Americana no Norte de Minas Gerais,Rogério Alves de Amorim
Salinas,Caracterização Higiênico-sanitária e Tecnológica de Linguiças Frescais Produzidas Artesanalmente e Comercializadas em Salinas – MG,Thiago Moreira dos Santos
Salinas,Análise Físico-química e Análise Sensorial de Cachaça Envelhecida em Tonel de Madeira Jequitibá Armazenada com Gengibre,Márcia Antunes dos Santos Rodrigues 
Salinas,Elaboração e Aceitabilidade de Maionese Caseira com Oleio de Pequi,Jean Pereira Coutinho
Salinas,O Uso de Videoaulas como Estratégia Alternativa para Escolas que não Possuem Laboratório de Física,Vailton Afonso da Silva
Salinas,O Uso do Geogebra 5.0 para o Estudo das Superfícies Quádricas,Marco Aurélio Meira Fonseca
Salinas,Qualidade de Hortelã (MENTHA SP.) In Natura e Processado Comercializado em Salinas – MG,Patrícia Nery Silva Souza
Salinas,Qualidade da Secagem e do Armazenamento de Peças de Madeira Serrada em Madeireiras Localizadas na Cidade de Salinas – MG,Wagner Patrício de Souza Júnior
Salinas,Pão Sem Glúten à Base de Farinha de Batata Doce Enriquecido com a Proteína do Ovo,Alcides Ricardo Gomes de Oliveira
Salinas,Avaliação da Qualidade Ambiental no Município de Salinas – MG,Romildo Lopes de Oliveira
Salinas,Levantamento do Perfil Microbiológico dos Teiús (Tupinambis SP.) na Microrregião de Salinas,Eduardo Garrido
Salinas,Avaliação Microbiológica e Sensorial do Queijo de Massa Filada com Fermentação espontânea – Queijo Cozido – Com Revestimento Comestível á Base de Amido de Mandioca e Óleo Essencial de Orégano (Origanum Vulgare),Fábio Weliton Jorge Lima
Salinas,Potencial Competitivo de Espécies Florestais Nativas da Mata Atlântica e do Cerrado em Convivência com Urochloa Decumbens,Alessandro de Paula Silva
Salinas,"Fauna Flebotomínica (Diptera, Psychodidae) em Área Urbana e Periurbana do Município de Salinas, Norte de Minas Gerais",Vanessa Paulino da Cruz Vieira
Salinas,Influência de Análogos de GnRH na Ovulação Induzida de Peixes Reofílicos das Bacias dos Rios Pardo e Jequitinhonha,Júlio César Oliveira Dias
Salinas,"Estimativa da População do Pequizeiro (Caryocar Brasiliense Camb.), Potencial Produtivo e sua Relação com Características edáficas na Região do Distrito de Nova Fátima, Salinas – MG",Alessandro de Paula Silva
